Label,StopwordRemovedSentence
neutral,uncle professor speaking
positive,conversation guide word often reached ears forlorad danish expression
neutral,understood
neutral,order make heard must speak along side gallery would carry sound voice wire carries electric fluid point point
neutral,time lose
negative,companions remove feet stood acoustic effect would whispering gallery would destroyed
positive,therefore crawled towards wall said clearly distinctly could uncle hardwigg
negative,awaited reply
neutral,sound possess property traveling extreme rapidity
neutral,besides density air depth light motion far adding rapidity circulation
positive,several seconds elapsed excited imagination appeared ages words reached eager ears moved wildly beating heart harry boy
negative,short delay question answer
positive,yes yes
neutral,
neutral,
negative,lost
neutral,lamp
neutral,
neutral,
neutral,guiding stream
negative,lost
positive,keep courage harry
positive,best
neutral,one moment uncle cried longer strength answer questions
positive,heaven sake continue speak
neutral,absolute silence felt would annihilation
positive,keep courage said uncle
negative,weak speak
neutral,searching directions going upwards downwards gallery
negative,dear boy begun give hope never know bitter tears sorrow regret shed
negative,last supposing still road beside hansbach descended firing guns signals
positive,however found voices reach may long time actually meet
neutral,conversing means extraordinary acoustic arrangement labyrinth
negative,despair dear boy
positive,something gained even hear
neutral,speaking brain work reflecting
positive,certain undefined hope vague shapeless yet made heart beat wildly
neutral,first place absolutely necessary know one thing
neutral,therefore leaned head wall almost touched lips spoke
neutral,uncle
neutral,boy
neutral,answer moments
neutral,utmost consequence know far asunder
negative,difficult
neutral,chronometer hand
neutral,asked
neutral,
positive,certainly
neutral,well take hand
neutral,pronounce name noting exactly second speak
positive,reply soon hear words note exactly moment reply reaches
positive,good mean time question answer time occupied voice reaching
positive,exactly mean uncle eager reply
positive,ready
neutral,
positive,yes
positive,well make ready pronounce name said professor
positive,applied ear close sides cavernous gallery soon word harry reached ear turned round placing lips wall repeated sound
neutral,forty seconds said uncle
neutral,elapsed forty seconds two words
neutral,sound therefore takes twenty seconds ascend
neutral,allowing thousand twenty feet every second twenty thousand four hundred feet league half one eighth
positive,words fell soul like kind death knell
negative,league half muttered low despairing voice
positive,shall got boy cried uncle cheery tone depend us
neutral,know whether ascend descend
neutral,asked faintly enough
neutral,descend tell
positive,reached vast open space kind bare crossroad galleries diverge every direction
neutral,lying must necessarily bring point appears mighty fissures fractures globe interior radiate vast cavern moment occupy
positive,rouse courage continue route
negative,walk drag along slide nothing else possible
positive,slope must rather rapid find strong arms receive end journey
positive,make start like good fellow
positive,words served rouse kind courage sinking frame
positive,farewell present good uncle take departure
neutral,soon start voices cease commingle
neutral,farewell meet
positive,adieu harry say welcome
negative,last words reached anxious ears commenced weary almost hopeless journey
positive,wonderful surprising conversation took place vast mass earth labyrinth words exchanged speakers five miles apart ended hopeful pleasant expressions
positive,breathed one prayer heaven sent words thanksgiving believing inmost heart led place voices friends could reach ears
positive,apparently astounding acoustic mystery easily explainable simple natural laws arose conductibility rock
neutral,many instances singular propagation sound perceptible less mediate positions
positive,interior gallery st paul amid curious caverns sicily phenomena observable
positive,marvelous known ear dionysius
positive,memories past early reading studies came fresh thoughts
positive,moreover began reason uncle could communicate great distance serious obstacle could exist us
positive,follow direction whence sound reached logically putting must reach strength fail
positive,accordingly rose feet
negative,soon found however could walk must drag along
negative,slope expected rapid allowed slip
negative,soon rapidity descent began assume frightful proportions menaced fearful fall
neutral,clutched sides grasped projections rocks threw backwards
neutral,vain
positive,weakness great could nothing save
negative,suddenly earth failed
negative,first launched dark gloomy void
positive,struck projecting asperities vertical gallery perfect well
negative,head bounded pointed rock lost knowledge existence
negative,far concerned death claimed
positive,returned consciousness existence found surrounded kind semiobscurity lying thick soft coverlets
negative,uncle watching eyes fixed intently countenance grave expression face tear eye
positive,first sigh struggled bosom took hold hand
positive,saw eyes open fix upon uttered loud cry joy
neutral,lives
neutral,lives
positive,yes good uncle whispered
positive,dear boy continued grim professor clasping heart saved
positive,deeply unaffectedly touched tone words uttered even kindly care accompanied
positive,professor however one men must severely tried order induce display affection gentle emotion
positive,moment friend hans guide joined us
positive,saw hand uncle venture say taciturn eyes beamed lively satisfaction
positive,god dag said
positive,good day hans good day replied hearty tone could assume uncle together tell
negative,lost idea position everything else
neutral,tomorrow harry tomorrow replied
negative,today far weak
neutral,head surrounded bandages poultices must touched
neutral,sleep boy sleep tomorrow know require
negative,cried let know clock day
neutral,eleven clock night sunday
neutral,ninth month august
negative,distinctly prohibit asking questions tenth
negative,truth told weak indeed eyes soon closed involuntarily
positive,require good night rest went reflecting last moment perilous adventure interior earth total darkness lasted four days
neutral,morning next day awakening began look around
positive,sleeping place made traveling bedding charming grotto adorned magnificent stalagmites glittering colors rainbow floor soft silvery sand
neutral,dim obscurity prevailed
positive,torch lamp lighted yet certain unexplained beams light penetrated without made way opening beautiful grotto
neutral,moreover heard vague indefinite murmur like ebb flow waves upon strand sometimes verily believed could hear sighing wind
neutral,began believe instead awake must dreaming
positive,surely brain affected fall occurred last twenty four hours frenzied visions madness
negative,yet reflection trial faculties came conclusion could mistaken
positive,eyes ears could surely deceive
positive,ray blessed daylight said penetrated mighty fissure rocks
negative,meaning murmur waves unmistakable moaning salt sea billows
neutral,hear plainly enough whistling wind
negative,altogether mistaken
negative,uncle illness carried back surface earth
negative,account given wondrous expedition strange manner come end
neutral,puzzling brain questions professor joined
positive,good day harry cried joyous tone
neutral,fancy quite well
positive,much better replied actually sitting bed
positive,knew would end slept soundly tranquilly
neutral,hans taken turn watch every hour seen visible signs amelioration
positive,must right uncle reply feel could justice meal could put
neutral,shall eat boy shall eat
neutral,fever left
positive,excellent friend hans rubbed wounds bruises know ointment icelanders alone possess secret
positive,healed bruises marvelous manner
positive,ah wise fellow master hans
positive,speaking uncle placing several articles food despite earnest injunctions readily devoured
negative,soon first rage hunger appeased overwhelmed questions longer hesitated give answers
neutral,learned first time providential fall brought bottom almost perpendicular gallery
negative,came amidst perfect shower stones least falling would crushed death came conclusion carried entire dislocated rock
negative,riding terrible chariot cast headlong uncle arms
neutral,fell insensible covered blood
negative,indeed miracle professor final remark killed thousand times
positive,let us take care never separate surely risk never meeting
positive,let us take care never separate
neutral,words fell sort chill upon heart
neutral,journey
neutral,looked uncle surprise astonishment
positive,uncle instant examination countenance said matter harry
negative,want ask serious question
neutral,say right health
positive,certainly
positive,limbs sound capable new exertion
neutral,asked
neutral,undoubtedly
neutral,head
negative,next anxious question
positive,well head except one two contusions exactly ought shoulders said uncle laughing
positive,well opinion head exactly right
neutral,fact believe slightly delirious
neutral,makes think
negative,explain fancy lost senses cried
neutral,returned surface mother earth
positive,certainly
negative,truly must mad see light day
neutral,hear whistling wind
positive,distinguish wash great sea
negative,makes uneasy
positive,said uncle smile
neutral,explain
positive,make attempt explain whole matter utterly inexplicable
neutral,shall see judge
neutral,find geological science yet infancy doomed enlighten world
negative,let us advance cried eagerly longer able restrain curiosity
neutral,wait moment dear harry responded must take precautions illness going open air
neutral,open air
positive,yes boy
negative,warn wind rather violent wish expose without necessary precautions
positive,beg assure perfectly recovered illness
neutral,little patience boy
negative,relapse would inconvenient parties
negative,time lose approaching sea voyage may long duration
neutral,sea voyage
negative,cried bewildered ever
positive,yes
positive,must take another day rest shall ready go board tomorrow replied uncle peculiar smile
neutral,go board
positive,words utterly astonished
neutral,go board
neutral,come upon river lake discovered inland sea
neutral,vessel lying anchor part interior earth
neutral,curiosity worked highest pitch
neutral,uncle made vain attempts restrain
positive,last however discovered feverish impatience would harm good satisfaction wishes could alone restore calm state mind gave way
positive,dressed rapidly taking precaution please uncle wrapping one coverlets rushed grotto
neutral,first saw absolutely nothing
positive,eyes wholly unused effulgence light could bear sudden brightness compelled close
positive,able reopen stood still far stupefied astonished
neutral,wildest effects imagination could conjured scene
negative,sea sea cried
positive,yes replied uncle tone pardonable pride central sea
negative,future navigator deny fact discovered hence acquiring right giving name
positive,quite true
negative,vast limitless expanse water end lake ocean spread us lost distance
positive,shore much indented consisted beautiful soft golden sand mixed small shells long deserted home creatures past age
negative,waves broke incessantly peculiarly sonorous murmur found underground localities
neutral,slight frothy flake arose wind blew along pellucid waters many dash spray blown face
positive,mighty superstructure rock rose inconceivable height left narrow opening stood large margin strand
negative,sides capes promontories enormous cliffs partially worn eternal breaking waves countless ages
positive,gazed side side mighty rocks faded away like fleecy film cloud
negative,reality ocean usual characteristics inland sea horribly wild rigid cold savage
negative,one thing startled puzzled greatly
negative,able look upon vast sheet water instead plunged utter darkness
positive,vast landscape lit like day
positive,wanting dazzling brilliancy splendid irradiation sun pale cold illumination moon brightness stars
positive,illuminating power subterranean region trembling rickering character clear dry whiteness slight elevation temperature great superiority moon evidently electric something nature aurora borealis phenomena constant able light whole ocean cavern
neutral,tremendous vault heads sky speak appeared composed conglomeration nebulous vapors constant motion
negative,originally supposed atmospheric pressure must exist place evaporation water could really take place yet action physical law escaped memory heavy dense clouds rolling along mighty vault partially concealing roof
positive,electric currents produced astonishing play light shade distance especially around heavier clouds
positive,deep shadows cast beneath suddenly two clouds would come ray unusual beauty remarkable intensity
positive,yet like sun gave heat
negative,effect sad excruciatingly melancholy
positive,instead noble firmament blue studded stars heavy roof granite seemed crush
negative,gazing around began think theory english captain compared earth vast hollow sphere interior air retained luminous state means atmospheric pressure two stars pluto proserpine circled mysterious orbits
neutral,suppose old fellow right
negative,truth imprisoned bound vast excavation
negative,width impossible make shore either hand widening rapidly lost sight length equally uncertain
neutral,haze distant horizon bounded view
neutral,height could see must many miles roof
neutral,looking upward impossible discover stupendous roof began
positive,lowest clouds must floating elevation two thousand yards height greater terrestrial vapors circumstance doubtless owing extreme density air
neutral,use word cavern order give idea place
negative,cannot describe awful grandeur human language fails convey idea savage sublimity
neutral,whether singular vacuum caused sudden cooling earth state fusion could say
positive,read wonderful gigantic caverns none way like
positive,great grotto guachara colombia visited learned humboldt vast partially explored mammoth cave kentucky holes earth stood speechless admiration
neutral,vapory clouds electric light mighty ocean slumbering bosom
negative,imagination description alone give idea splendor vastness cave
positive,gazed marvels profound silence
neutral,words utterly wanting indicate sensations wonder experienced
neutral,seemed stood upon mysterious shore wandering inhabitant distant planet present first time spectacle terrestrial phenomena belonging another existence
negative,give body existence new sensations would required coinage new words feeble brain found wholly fault
positive,looked thought reflected admired state stupefaction altogether unmingled fear
positive,unexpected spectacle restored color pallid cheeks
positive,seemed actually getting better influence novelty
neutral,moreover vivacity dense atmosphere reanimated body inflating lungs unaccustomed oxygen
negative,readily conceived imprisonment forty seven days dark miserable tunnel infinite delight breathed saline air
positive,like genial reviving influence salt sea waves
positive,uncle already got first surprise
positive,latin poet horace idea admire art know make man happy keep
positive,well said giving time thoroughly appreciate marvels underground sea feel strong enough walk
positive,certainly ready answer nothing would give greater pleasure
neutral,well boy said lean arm stroll along beach
positive,accepted offer eagerly began walk along shores extraordinary lake
negative,left abrupt rocks piled one upon stupendous titanic pile sides leaped innumerable cascades last becoming limpid murmuring streams lost waters lake
positive,light vapors rose floated fleecy clouds rock rock indicated hot springs also poured superfluity vast reservoir feet
positive,among recognized old faithful stream hansbach lost wild basin seemed flowing since creation world
positive,shall miss excellent friend remarked deep sigh
neutral,bah
positive,said uncle testily matters
neutral,another
negative,thought remark ungrateful felt almost inclined say forbore
positive,moment attention attracted unexpected spectacle
neutral,gone five hundred yards suddenly turned steep promontory found close lofty forest
positive,consisted straight trunks tufted tops shape like parasols
negative,air seemed effect upon trees spite tolerable breeze remained still motionless petrified
neutral,hastened forward
neutral,could find name singular formations
positive,belong two thousand known trees make discovery new growth
neutral,means
positive,last reached forest stood beneath trees surprise gave way admiration
neutral,truth simply presence ordinary product earth singular gigantic proportions
neutral,uncle unhesitatingly called real names
neutral,said coolest manner forest mushrooms
negative,close examination found mistaken
neutral,judge development attained product damp hot soils
positive,heard lycoperdon giganteum reaches nine feet circumference white mushrooms nearly forty feet high tops equal dimensions
negative,grew countless thousands light could make way massive substance beneath reigned gloomy mystic darkness
neutral,still wished go forward
positive,cold shades singular forest intense
negative,nearly hour wandered visible darkness
positive,length left spot returned shores lake light comparative warmth
positive,amazing vegetation subterraneous land confined gigantic mushrooms
negative,new wonders awaited us every step
positive,gone many hundred yards came upon mighty group trees discolored leaves common humble trees mother earth exorbitant phenomenal size lycopods hundred feet high flowering ferns tall pines gigantic grasses
positive,astonishing magnificent splendid
negative,cried uncle us whole flora second period world transition
positive,behold humble plants gardens first ages world mighty trees
positive,look around dear harry
neutral,botanist ever gazed sight
neutral,uncle enthusiasm always little required excusable
neutral,right uncle remarked
neutral,providence appears designed preservation vast mysterious hothouse antediluvian plants prove sagacity learned men figuring marvelously paper
positive,well said boy well said indeed mighty hothouse
neutral,would also within bounds reason common sense added also vast menagerie
negative,looked rather anxiously around
negative,animals exaggerated plants matter would certainly serious
neutral,menagerie
neutral,doubtless
positive,look dust treading foot behold bones whole soil seashore covered bones replied yes certainly bones antediluvian animals
neutral,stooped spoke picked one two singular remains relics bygone age
positive,easy give name gigantic bones instances big trunks trees
positive,clearly lower jawbone mastodon cried almost warmly enthusiastically uncle molars dinotherium leg bone belonged megatherium
negative,right uncle indeed menagerie mighty animals bones belonged lived died shores subterranean sea shadow plants
neutral,look yonder whole skeletons yet yet nephew
negative,said uncle noticing suddenly came full stop
neutral,understand presence beasts granite caverns however vast prodigious reply
neutral,
neutral,said uncle much old professional impatience
neutral,well known animal life existed earth secondary period sedimentary soil formed alluviums thus replaced hot burning rocks primitive age
positive,listened earnestly patience harry simple clear answer objections sedimentary soil
neutral,enormous depth surface earth
neutral,fact explained simply geologically
positive,certain period earth consisted elastic crust liable alternative upward downward movements virtue law attraction
positive,probable many landslip took place days large portions sedimentary soil cast huge mighty chasms
neutral,quite possible dryly remarked
neutral,uncle antediluvian animals formerly lived subterranean regions likely one monsters may moment concealed behind one yonder mighty rocks
positive,spoke looked keenly around examining care every point horizon nothing alive appeared exist deserted shores
negative,felt rather fatigued told uncle
positive,walk excitement much weak state
negative,therefore seated end promontory foot waves broke incessant rolls
neutral,looked round bay formed projections vast granitic rocks
positive,extreme end little port protected huge pyramids stones
positive,brig three four schooners might lain perfect ease
positive,natural seem every minute imagination induced expect vessel coming sail making open sea influence warm southerly breeze
positive,fantastic illusion never lasted minute
neutral,living creatures subterranean world
neutral,certain periods utter cessation wind silence deeper terrible silence desert fell upon solitary arid rocks seemed hang like leaden weight upon waters singular ocean
negative,sought amid awful stillness penetrate distant fog tear veil concealed mysterious distance
negative,unspoken words murmured trembling lips questions wish ask
neutral,sea end lead
neutral,ever able examine distant shores
neutral,uncle doubts matter
positive,convinced enterprise would end successful
negative,part state painful indecision desired embark journey succeed still feared result
positive,passed hour silent contemplation wondrous spectacle rose went towards bank way grotto sorry gain
negative,slight repast sought refuge slumber length many tedious struggles sleep came weary eyes
positive,morning next day great surprise awoke completely restored
positive,thought bath would delightful long illness sufferings
neutral,soon rising went plunged waters new mediterranean
positive,bath cool fresh invigorating
positive,came back breakfast excellent appetite
negative,hans worthy guide thoroughly understood cook eatables able provide fire water discretion enabled slightly vary weary monotony ordinary repast
positive,morning meal like capital english breakfast coffee way windup
positive,never delicious beverage welcome refreshing
positive,uncle sufficient regard state health interrupt enjoyment meal evidently delighted finished
neutral,said come
negative,height tide anxious study curious phenomena
neutral,
negative,cried rising astonishment say tide uncle
positive,certainly
positive,mean say replied tone respectful doubt influence sun moon felt
positive,pray
positive,bodies influenced law universal attraction
positive,vast underground sea exempt general law rule universe
neutral,besides nothing like proved demonstrated
positive,despite great atmospheric pressure notice inland sea rises falls much regularity atlantic
positive,uncle spoke reached sandy shore saw heard waves breaking monotonously beach
neutral,evidently rising
negative,truly flood cried looking water feet
positive,yes excellent nephew replied uncle rubbing hands gusto philosopher see several streaks foam tide rises least ten twelve feet
positive,indeed marvelous
positive,means responded contrary quite natural
positive,may appear eyes dear uncle reply phenomena place appear partake marvelous
neutral,almost impossible believe see
positive,wildest dreams could imagined beneath crust earth could exist real ocean ebbing flowing tides changes winds even storms
positive,one laughed suggestion scorn
neutral,harry boy
positive,inquired uncle pitying smile physical reason opposition
positive,well give great theory central heat earth certainly offer reasons anything looked upon impossible
positive,added system sir humphry davy wholly justified seen
positive,allow point granted certainly see reason doubting existence seas wonders even countries interior globe
neutral,course varied countries uninhabited
positive,well grant likely still see sea given shelter species unknown fish
neutral,hitherto discovered probabilities rather ever observed professor
negative,losing skepticism presence wonders
positive,well determined solve question
positive,intention try luck fishing line hook
positive,certainly make experiment said uncle pleased enthusiasm
positive,certainly proper discover secrets extraordinary region
neutral,
negative,asked time quite forgotten ask question doubtless philosophical instruments long since answered
neutral,well replied professor examining situation one point view distant three hundred fifty leagues iceland
neutral,much
neutral,exclamation
positive,gone matter several times sure made mistake five hundred yards replied uncle positively
neutral,direction still going southeast
positive,yes western declination 2 nineteen degrees forty two minutes
positive,inclination 3 discovered curious fact
positive,2 declination variation needle true meridian place
neutral,3 inclination dip magnetic needle tendency incline towards earth
neutral,may uncle
positive,information interests
neutral,needle instead dipping towards pole earth northern hemisphere upward tendency
positive,proves cried great point magnetic attraction lies somewhere surface earth spot succeeded reaching
positive,exactly observant nephew exclaimed uncle elated delighted quite probable succeed getting toward polar regions somewhere near seventy third degree latitude sir james ross discovered magnetic pole shall behold needle point directly upward
positive,therefore discovered analogy great centre attraction situated great depth
positive,well said rather surprised discovery astonish experimental philosophers
negative,never suspected
positive,science great mighty end unerring replied uncle dogmatically science fallen many errors errors fortunate useful rather otherwise steppingstones truth
positive,discussion turned another matter
positive,idea depth reached
neutral,continued professor exactly thirty five leagues hundred miles interior earth
neutral,said measuring distance map beneath scottish highlands heads lofty grampian hills
positive,quite right said professor laughing sounds alarming weight heavy vault supports vast mass earth rock solid safe mighty architect universe constructed solid materials
neutral,man even highest flights vivid poetic imagination never thought things
positive,finest arches bridges vaulted roofs cathedrals mighty dome us beneath floats ocean storms calms tides
positive,admire much uncle fear granite sky fall upon heads
positive,discussed matters science discovery future intentions
positive,thinking getting back surface beautiful earth
positive,said feeler hope success
negative,go back nephew cried uncle tone alarm surely thinking anything absurd cowardly
neutral,intention advance continue journey
positive,yet singularly fortunate henceforth hope shall
neutral,said cross yonder liquid plain
positive,intention leap head foremost even swim across like leander hellespont
positive,oceans great lakes inasmuch surrounded land stand reason central sea circumscribed granite surroundings
positive,doubtless natural reply
positive,well think reach end shall find means continuing journey
positive,probably extent allow internal ocean
positive,well fancy extend forty fifty leagues less
neutral,even supposing approximation correct one
neutral,asked
positive,dear boy time discussion
neutral,shall embark tomorrow
neutral,looked around surprise incredulity
neutral,could see nothing shape boat vessel
neutral,
negative,cried launch upon unknown sea may ask vessel carry us
positive,well dear boy exactly would call vessel
positive,present must content good solid raft
negative,raft cried incredulously raft impossible construction vessel loss imagine good harry listen instead talking much would hear said uncle waxing little impatient
neutral,hear
positive,yes certain knocks hammer hans employing make raft
neutral,work many hours
neutral,making raft
positive,yes
positive,found trees suitable construction
positive,found trees ready hand
positive,come shall see excellent guide work
positive,amazed heard saw followed uncle like one dream
positive,walk quarter hour saw hans work side promontory formed natural port
neutral,minutes beside
positive,great surprise sandy shore lay half finished raft
positive,made beams peculiar wood great number limbs joints boughs pieces lay sufficient constructed fleet ships boats
neutral,turned uncle silent astonishment awe
neutral,wood come
negative,cried wood
positive,well pinewood fir palms northern regions mineralized action sea replied sententiously
neutral,possible
positive,yes said learned professor see called fossil wood
negative,cried reflecting moment like lignites must hard heavy iron therefore certainly float
neutral,sometimes case
positive,many woods become true anthracites others like see undergone one phase fossil transformation
positive,proof like demonstration added uncle picking one two precious waifs casting sea
negative,piece wood disappeared moment came surface floated oscillation produced wind tide
positive,convinced
positive,said uncle self satisfied smile
positive,convinced cried see incredible
positive,fact journey interior earth rapidly changing preconceived notions day day preparing marvelous
positive,surprised seen fleet native canoes afloat upon silent sea
positive,next evening thanks industry ability hans raft finished
neutral,ten feet long five feet wide
positive,beams bound together stout ropes solid firm launched united efforts improvised vessel floated tranquilly upon waters professor well named central sea
neutral,thirteenth august betimes
negative,time lost
positive,inaugurate new kind locomotion would advantage rapid fatiguing
positive,mast made two pieces wood fastened together give additional strength yard made another one sail linen sheet bed
positive,fortunately want cordage whole trial appeared solid seaworthy
positive,six clock morning eager enthusiastic professor gave signal embark victuals luggage instruments weapons goodly supply sweet water collected springs rocks placed raft
positive,hans considerable ingenuity contrived rudder enabled guide floating apparatus ease
positive,took tiller matter course
positive,worthy man good sailor guide duck hunter
neutral,let go painter held us shore sail brought wind made rapid offing
neutral,sea voyage length commenced making distant unknown regions
positive,leave little port raft constructed uncle strong geographic nomenclature wanted give name among others suggested mine
neutral,well said decide another propose
neutral,well
positive,like call gretchen
positive,port gretchen sound well future map
neutral,well port gretchen let said professor
positive,thus memory dear girl attached adventurous memorable expedition
neutral,left shore wind blowing northward eastward
positive,went directly wind much greater speed might expected raft
positive,dense layers atmosphere depth great propelling power acted upon sail considerable force
positive,end hour uncle taking careful observations enabled judge rapidity moved
neutral,far beyond anything seen upper world
neutral,said continue advance present rate shall traveled least thirty leagues twenty four hours
neutral,mere raft almost incredible velocity
positive,certainly surprised without making reply went forward upon raft
neutral,already northern shore fading away edge horizon
neutral,two shores appeared separate leaving wide open space departure
neutral,could see nothing vast apparently limitless sea upon floated living objects sight
negative,huge dark clouds cast grey shadows shadows seemed crush colorless sullen water weight
negative,anything suggestive gloom regions nether darkness never beheld
positive,silvery rays electric light reflected upon small spots water brought luminous sparkles long wake cumbrous bark
neutral,presently wholly sight land vestige could seen indication going
neutral,still motionless seem without distant point fix eyes phosphoric light wake raft fancied still motionless
neutral,knew advancing rapid rate
neutral,twelve clock day vast collections seaweed discovered surrounding us sides
positive,aware extraordinary vegetative power plants known creep along bottom great ocean stop advance large ships
positive,never seaweeds ever seen gigantic wonderful central sea
positive,could well imagine seen distance tossing heaving summit billows long lines algae taken living things thus fertile sources belief sea serpents
positive,raft swept past great specimens fucus seawrack three four thousand feet length immense incredibly long looking like snakes stretched far beyond horizon
positive,afforded great amusement gaze variegated ribbon like endless lengths
neutral,hour hour passed without coming termination floating weeds
negative,astonishment increased patience well nigh exhausted
positive,natural force could possibly produced abnormal extraordinary plants
negative,must aspect globe first centuries formation combined action heat humidity vegetable kingdom occupied vast surface exclusion everything else
neutral,considerations never ending interest geologist philosopher
neutral,advancing journey length night came remarked evening luminous state atmosphere nothing diminished
neutral,whatever cause phenomenon upon duration could calculate certainty
negative,soon supper disposed little speculative conversation indulged stretched foot mast presently went sleep
neutral,hans remained motionless tiller allowing raft rise fall waves
neutral,wind aft sail square keep oar centre
positive,ever since taken departure newly named port gretchen worthy uncle directed keep regular log day navigation instructions put even minute particulars every interesting curious phenomenon direction wind rate sailing distance went word every incident extraordinary voyage
neutral,log therefore tell story voyage central sea
neutral,friday august 14th
neutral,steady breeze northwest
positive,raft progressing extreme rapidity going perfectly straight
neutral,coast still dimly visible thirty leagues leeward
neutral,nothing seen beyond horizon front
neutral,extraordinary intensity light neither increases diminishes
neutral,singularly stationary
positive,weather remarkably fine say clouds ascended high light fleecy surrounded atmosphere resembling silver fusion
neutral,thermometer 32 degrees centigrade
positive,twelve clock day guide hans prepared baited hook cast line subterranean waters
neutral,bait used small piece meat means concealed hook
negative,anxious long time doomed disappointment
neutral,waters supplied fish
positive,important question
neutral,decided answer
negative,came sudden rather hard tug
negative,hans coolly drew fish struggled violently escape
neutral,fish
negative,cried uncle
neutral,sturgeon
negative,cried certainly small sturgeon
positive,professor examined fish carefully noting every characteristic coincide opinion
negative,fish flat head round body lower extremities covered bony scales mouth wholly without teeth pectoral fins highly developed sprouted direct body properly speaking tail
positive,animal certainly belonged order naturalists class sturgeon differed fish many essential particulars
negative,uncle mistaken
positive,long patient examination said fish dear boy belongs family extinct ages trace ever found earth except fossil remains devonian strata
negative,mean say cried captured live specimen fish belonging primitive stock existed deluge
positive,said professor time continuing observations may see careful examination fossil fish identity existing species
positive,hold one hand therefore living specimen order enough make naturalist happy life
negative,cried family belong
positive,order ganoides order fish angular scales covered bright enamel forming one family cephalaspides genus well sir remarked noticed uncle hesitated conclude
positive,genus pterychtis yes certain
positive,still though confident correctness surmise fish offers notice remarkable peculiarity never known exist fish natives subterranean waters wells lakes caverns suchlike hidden pools
neutral,may
negative,blind
negative,blind
negative,cried much surprised
negative,blind continued professor absolutely without organs sight
neutral,examined discovery
positive,singular sure really fact
neutral,however might solitary instance suggested
neutral,hook baited thrown water
positive,subterranean ocean must tolerably well supplied fish two hours took large number pterychtis well fish belonging another supposed extinct family dipterides genus fish furnished two fins whence name though uncle could class exactly
negative,without exception however blind
positive,unexpected capture enabled us renew stock provisions satisfactory way
positive,convinced subterranean sea contained fish known us fossil specimens fish reptiles alike perfect farther back dated origin
positive,began hope find saurians science succeeded reconstructing bits bone cartilage
positive,took telescope carefully examined horizon looked whole sea utterly entirely deserted
positive,doubtless still near coast
negative,examination ocean looked upward towards strange mysterious sky
negative,one birds reconstructed immortal cuvier flap stupendous wings aloft dull strata subterranean air
neutral,would course find quite sufficient food fish sea
neutral,gazed time upon void
neutral,silent deserted shores lately left
neutral,nevertheless though could neither see discover anything imagination carried away wild hypotheses
positive,kind waking dream
neutral,thought saw surface water enormous antediluvian turtles big floating islands
negative,upon dull somber shores passed spectral row mammifers early days great liptotherium found cavernous hollow brazilian hills mesicotherium native glacial regions siberia
negative,farther pachydermatous lophrodon gigantic tapir concealed behind rocks ready battle prey anoplotherium singular animal partaking nature rhinoceros horse hippopotamus camel
negative,giant mastodon twisting turning horrid trunk crushed rocks shore powder megatherium back raised like cat passion enormous claws stretched dug earth food time awoke sonorous echoes whole place terrible roar
positive,higher still first monkey ever seen face globe clambered gamboling playing granite hills
positive,still farther away ran pterodactyl winged hand gliding rather sailing dense compressed air like huge bat
positive,near leaden granitic sky immense birds powerful cassowary ostrich spread mighty wings fluttered huge stone vault inland sea
neutral,thought effect imagination saw whole tribe antediluvian creatures
negative,carried back far ages long man existed fact earth imperfect state live upon
positive,dream countless ages existence man
negative,mammifers first disappeared mighty birds reptiles secondary period presently fish crustacea mollusks finally vertebrata
neutral,zoophytes period transition turn sank annihilation
neutral,whole panorama world life historic period seemed born mine human heart beat unpeopled world
positive,seasons climates natural heat world increased unceasingly neutralized great radiant sun
negative,vegetation exaggerated extraordinary manner
negative,passed like shadow midst brushwood lofty giant trees california trod underfoot moist humid soil reeking rank varied vegetation
positive,leaned huge column like trunks giant trees canada ferns
neutral,whole ages passed hundreds upon hundreds years concentrated single day
positive,next unrolled like panorama came great wondrous series terrestrial transformations
negative,plants disappeared granitic rocks lost trace solidity liquid state suddenly substituted existed
positive,caused intense heat acting organic matter earth
positive,waters flowed whole surface globe boiled volatilized turned vapor kind steam cloud wrapped whole earth globe becoming last nothing one huge sphere gas indescribable color white heat red big brilliant sun
neutral,centre prodigious mass fourteen hundred thousand times large globe whirled round space brought close conjunction planets
positive,body subtilized rather became volatile commingled state atomic vapor prodigious clouds rushed forward like mighty comet infinite space
positive,extraordinary dream
neutral,would finally take
positive,feverish hand began write marvelous details details like imaginings lunatic anything sober real
negative,period hallucination forgotten everything professor guide raft floating
neutral,mind state semioblivion
positive,matter harry
neutral,said uncle suddenly
positive,eyes wide opened like somnambulist fixed upon see could clearly make anything around
neutral,take care boy cried uncle fall sea
positive,uttered words felt seized side firm hand devoted guide
negative,presence mind hans must infallibly fallen waves drowned
negative,gone mad
negative,cried uncle shaking side
positive,matter
neutral,said last coming
negative,ill henry
negative,continued professor anxious tone
positive,extraordinary dream
neutral,however passed away
negative,seems well added looking around strangely puzzled eyes
positive,right said uncle beautiful breeze splendid sea
neutral,going along rapid rate calculations shall soon see land
negative,shall sorry exchange narrow limits raft mysterious strand subterranean ocean
positive,uncle uttered words rose carefully scanned horizon
neutral,line water still confounded lowering clouds hung aloft distance appeared touch edge water
neutral,saturday august 15th
neutral,sea still retains uniform monotony
neutral,leaden hue eternal glare
neutral,indication land sight
negative,horizon appears retreat us advance
